city,city_ascii,lat,lng,country,admin_name,population
"Albolote","Albolote",37.2306,-3.6569,"Spain","Andalusia",19587
"Amorebieta","Amorebieta",43.2192,-2.7342,"Spain","Basque Country",19570
"Los Alcázares","Los Alcazares",37.7436,-0.8497,"Spain","Murcia",19506
"Vera","Vera",37.25,-1.8667,"Spain","Andalusia",19488
"San Bartolomé","San Bartolome",29.0016,-13.6139,"Spain","Canary Islands",19443
"El Arahal","El Arahal",37.2667,-5.55,"Spain","Andalusia",19417
"Marchena","Marchena",37.3333,-5.4167,"Spain","Andalusia",19382
"Malgrat de Mar","Malgrat de Mar",41.65,2.75,"Spain","Catalonia",19377
"Moaña","Moana",42.2833,-8.75,"Spain","Galicia",19315
"El Viso del Alcor","El Viso del Alcor",37.3833,-5.7167,"Spain","Andalusia",19310
"Soure","Soure",40.0688,-8.6277,"Portugal","Coimbra",19245
"Monção","Moncao",42.0733,-8.48,"Portugal","Viana do Castelo",19230
"La Corredoría","La Corredoria",43.3853,-5.8208,"Spain","Asturias",19191
"Vila Real de Santo António","Vila Real de Santo Antonio",37.2,-7.4167,"Portugal","Faro",19156
"Cardedeu","Cardedeu",41.6406,2.3594,"Spain","Catalonia",19064
"Utebo","Utebo",41.7167,-1,"Spain","Aragon",19022
"Boiro","Boiro",42.65,-8.9,"Spain","Galicia",18976
"Amares","Amares",41.6333,-8.35,"Portugal","Braga",18889
"Felanitx","Felanitx",39.4669,3.1483,"Spain","Balearic Islands",18850
"Camarate","Camarate",38.8062,-9.1412,"Portugal","Lisboa",18822
"La Nucía","La Nucia",38.6172,-0.1231,"Spain","Valencia",18783
"San Celoni","San Celoni",41.69,2.49,"Spain","Catalonia",18761
"San Lorenzo de El Escorial","San Lorenzo de El Escorial",40.5936,-4.1428,"Spain","Madrid",18735
"Guadix","Guadix",37.3006,-3.135,"Spain","Andalusia",18725
"Fuente-Álamo de Murcia","Fuente-Alamo de Murcia",37.7394,-1.1881,"Spain","Murcia",18719
"Tarifa","Tarifa",36.014,-5.606,"Spain","Andalusia",18664
"Villaquilambre","Villaquilambre",42.6167,-5.6,"Spain","Castille-Leon",18647
"Huércal de Almería","Huercal de Almeria",36.8833,-2.4333,"Spain","Andalusia",18584
"Santa Brígida","Santa Brigida",28.0338,-15.4998,"Spain","Canary Islands",18551
"Tárrega","Tarrega",41.6469,1.1392,"Spain","Catalonia",18542
"Sacavém","Sacavem",38.7944,-9.1053,"Portugal","Lisboa",18469
"El Astillero","El Astillero",43.4017,-3.8194,"Spain","Cantabria",18467
"Baena","Baena",37.6167,-4.3167,"Spain","Andalusia",18436
"Tordera","Tordera",41.7008,2.72,"Spain","Catalonia",18409
"Caldas de Montbuy","Caldas de Montbuy",41.6292,2.1694,"Spain","Catalonia",18336
"Mangualde","Mangualde",40.6058,-7.7658,"Portugal","Viseu",18303
